subjects,activities_name,tbodyacc-mean()-x,tbodyacc-mean()-y,tbodyacc-mean()-z,tbodyacc-std()-x,tbodyacc-std()-y,tbodyacc-std()-z,tgravityacc-mean()-x,tgravityacc-mean()-y,tgravityacc-mean()-z,tgravityacc-std()-x,tgravityacc-std()-y,tgravityacc-std()-z,tbodyaccjerk-mean()-x,tbodyaccjerk-mean()-y,tbodyaccjerk-mean()-z,tbodyaccjerk-std()-x,tbodyaccjerk-std()-y,tbodyaccjerk-std()-z,tbodygyro-mean()-x,tbodygyro-mean()-y,tbodygyro-mean()-z,tbodygyro-std()-x,tbodygyro-std()-y,tbodygyro-std()-z,tbodygyrojerk-mean()-x,tbodygyrojerk-mean()-y,tbodygyrojerk-mean()-z,tbodygyrojerk-std()-x,tbodygyrojerk-std()-y,tbodygyrojerk-std()-z,tbodyaccmag-mean(),tbodyaccmag-std(),tgravityaccmag-mean(),tgravityaccmag-std(),tbodyaccjerkmag-mean(),tbodyaccjerkmag-std(),tbodygyromag-mean(),tbodygyromag-std(),tbodygyrojerkmag-mean(),tbodygyrojerkmag-std(),fbodyacc-mean()-x,fbodyacc-mean()-y,fbodyacc-mean()-z,fbodyacc-std()-x,fbodyacc-std()-y,fbodyacc-std()-z,fbodyaccjerk-mean()-x,fbodyaccjerk-mean()-y,fbodyaccjerk-mean()-z,fbodyaccjerk-std()-x,fbodyaccjerk-std()-y,fbodyaccjerk-std()-z,fbodygyro-mean()-x,fbodygyro-mean()-y,fbodygyro-mean()-z,fbodygyro-std()-x,fbodygyro-std()-y,fbodygyro-std()-z,fbodyaccmag-mean(),fbodyaccmag-std(),fbodybodyaccjerkmag-mean(),fbodybodyaccjerkmag-std(),fbodybodygyromag-mean(),fbodybodygyromag-std(),fbodybodygyrojerkmag-mean(),fbodybodygyrojerkmag-std()
10,LAYING,0.27697709,-0.017033298,-0.110873504,-0.391986316,-0.385673788,-0.498647005,0.74068496,-0.207161356,0.108410428,-0.964710125,-0.955042379,-0.927801701,0.079463394,0.016939967,-0.016237273,-0.388135258,-0.44620605,-0.683330347,-0.015098665,-0.091743386,0.085228553,-0.588893241,-0.465358409,-0.496858788,-0.111993957,-0.039779398,-0.057310958,-0.632505797,-0.708431891,-0.60744263,-0.357419739,-0.424185928,-0.357419739,-0.424185928,-0.462110642,-0.409095655,-0.388314507,-0.522604975,-0.665691018,-0.714913443,-0.391578451,-0.384966594,-0.554573027,-0.393411346,-0.42583273,-0.511764536,-0.412057315,-0.463058241,-0.645684617,-0.418627017,-0.466687915,-0.72073657,-0.523601249,-0.545223159,-0.45841381,-0.612021917,-0.429815825,-0.556786813,-0.388684287,-0.535760386,-0.385138891,-0.447367612,-0.572513091,-0.573538826,-0.71084927,-0.741397841
10,STANDING,0.276583204,-0.01949093,-0.112184339,-0.838564338,-0.727853336,-0.854294969,0.441236069,0.20056918,-0.054532045,-0.968072754,-0.953455064,-0.961197429,0.080527512,0.00461144,-0.001287446,-0.820707125,-0.734174667,-0.889739521,-0.025522511,-0.069990392,0.10298477,-0.849243536,-0.851156069,-0.807039631,-0.100224381,-0.047872362,-0.051924541,-0.849140012,-0.892824674,-0.85047535,-0.801728673,-0.795247255,-0.801728673,-0.795247255,-0.816292716,-0.777345432,-0.797174474,-0.83437787,-0.876313804,-0.880007876,-0.82250593,-0.720876539,-0.862321343,-0.845922741,-0.751383961,-0.861217947,-0.826063598,-0.744950073,-0.878450186,-0.83137993,-0.741038335,-0.899683348,-0.819983752,-0.861050934,-0.792357544,-0.858958473,-0.846707375,-0.829842093,-0.786961677,-0.834157293,-0.78326977,-0.770950589,-0.845024944,-0.856745923,-0.885199923,-0.881496241
11,WALKING_UPSTAIRS,0.276585311,-0.019127253,-0.108941762,-0.589476498,-0.490379347,-0.665324314,0.730526185,0.052738703,0.140209861,-0.975394458,-0.957138771,-0.956812,0.083013454,0.007804425,-0.00657425,-0.659323083,-0.608784227,-0.842511816,-0.054732844,-0.058227577,0.08728411,-0.739922127,-0.703501766,-0.725016009,-0.080547331,-0.049391407,-0.048014017,-0.781738141,-0.868377254,-0.795490882,-0.542825033,-0.612882271,-0.542825033,-0.612882271,-0.679819505,-0.66424176,-0.628367851,-0.696771379,-0.826829028,-0.866905013,-0.619524028,-0.531455266,-0.750026146,-0.579491755,-0.50257024,-0.652095671,-0.676672987,-0.632374689,-0.82555959,-0.672195644,-0.609444998,-0.858259631,-0.709949332,-0.776852869,-0.708842979,-0.751758277,-0.670892713,-0.755960628,-0.611528074,-0.674470159,-0.656133473,-0.676925076,-0.75758594,-0.71126722,-0.864827011,-0.879254017
12,LAYING,0.273608724,-0.018337204,-0.106649117,-0.583962207,-0.522040023,-0.699293531,0.699222451,0.029976776,0.033029554,-0.967383434,-0.960572908,-0.946808564,0.070430311,0.005311538,0.000308112,-0.582418268,-0.571359817,-0.792621936,-0.062866347,-0.059202733,0.096074215,-0.727881705,-0.735062826,-0.671057679,-0.073113438,-0.043678823,-0.057458504,-0.709726149,-0.811232599,-0.74935186,-0.559586546,-0.574386494,-0.559586546,-0.574386494,-0.630050492,-0.566365684,-0.631668059,-0.684858057,-0.777294478,-0.786386533,-0.578920211,-0.523287079,-0.726640315,-0.586922578,-0.553076639,-0.709983235,-0.599109318,-0.591296423,-0.775426583,-0.602960063,-0.579168054,-0.808583,-0.661246826,-0.744798148,-0.657369915,-0.750393858,-0.733456732,-0.708233154,-0.559283677,-0.650533282,-0.564239194,-0.571614888,-0.717311677,-0.719438066,-0.789902851,-0.797361458
13,LAYING,0.275895876,-0.01765048,-0.109135286,-0.62484446,-0.448816098,-0.587230562,0.709996517,-0.04208581,0.044301054,-0.967268063,-0.953540717,-0.93872788,0.079439303,0.00387962,-0.012348592,-0.638889533,-0.569700547,-0.728452966,-0.056247062,-0.061661379,0.09886606,-0.71510986,-0.645728612,-0.643337285,-0.088118238,-0.044083661,-0.058271875,-0.71577298,-0.718988592,-0.712716428,-0.539871637,-0.597230982,-0.539871637,-0.597230982,-0.625466939,-0.61024854,-0.581215403,-0.63636494,-0.712745036,-0.712056187,-0.638817913,-0.493467193,-0.629736259,-0.620602036,-0.462584459,-0.599036895,-0.660082174,-0.60334049,-0.71083173,-0.649606227,-0.562129867,-0.74482354,-0.658642421,-0.647152818,-0.620471227,-0.734657989,-0.650623559,-0.685774482,-0.589928109,-0.665344859,-0.607295296,-0.617075473,-0.652225307,-0.691915161,-0.712054367,-0.733183568
14,WALKING_UPSTAIRS,0.270184596,-0.016254818,-0.100985936,-0.611671118,-0.374730765,-0.293542715,0.672081225,-0.111701389,-0.161179728,-0.941245715,-0.942377305,-0.915927846,0.074175747,0.004436827,-0.002530447,-0.641964199,-0.586459623,-0.656855586,0.000253671,-0.095492115,0.060671245,-0.728661379,-0.398959363,-0.364478193,-0.107556127,-0.043320049,-0.045069384,-0.786291733,-0.697915531,-0.638299065,-0.45326262,-0.474058613,-0.45326262,-0.474058613,-0.60897342,-0.60514427,-0.416459777,-0.471486715,-0.70052094,-0.727023009,-0.619513272,-0.455237617,-0.440650672,-0.609406374,-0.376829989,-0.275013722,-0.654385009,-0.598699531,-0.618712162,-0.661460357,-0.602158944,-0.694424996,-0.699166401,-0.50463317,-0.423918214,-0.74005221,-0.348864187,-0.407672097,-0.49087418,-0.548269931,-0.596896309,-0.619215145,-0.543030529,-0.516930496,-0.717590102,-0.760560088
15,WALKING_UPSTAIRS,0.278213407,-0.016464485,-0.112563588,-0.556541173,-0.481679538,-0.705706624,0.688872512,0.102660492,0.03728977,-0.968733399,-0.956369494,-0.947240058,0.077689741,0.004893921,-0.004409932,-0.624055782,-0.594312678,-0.825820882,-0.028127878,-0.075878846,0.090665852,-0.696859473,-0.708779069,-0.721826988,-0.096091011,-0.044127069,-0.055564546,-0.731382711,-0.853956592,-0.795626198,-0.527285352,-0.557147874,-0.527285352,-0.557147874,-0.654799695,-0.625660377,-0.61772178,-0.67533696,-0.80528267,-0.837120078,-0.583772317,-0.507735206,-0.741745725,-0.547150855,-0.501568435,-0.71143134,-0.643469519,-0.609408057,-0.805543466,-0.637655155,-0.605854883,-0.845111061,-0.664354429,-0.760711411,-0.71119454,-0.709336168,-0.684504736,-0.751696527,-0.562948391,-0.623655618,-0.614817605,-0.643101167,-0.732394494,-0.69534684,-0.836801894,-0.849634464
16,WALKING_UPSTAIRS,0.27788744,-0.015856789,-0.107263924,-0.668161498,-0.649947068,-0.603819902,0.70090613,-0.060523599,0.040207554,-0.971156432,-0.96472752,-0.945294029,0.077548889,0.008840183,-0.0014373,-0.727861744,-0.735080198,-0.767873049,-0.012234145,-0.07244448,0.073014465,-0.79953445,-0.810124134,-0.737629968,-0.107361615,-0.041661567,-0.053947041,-0.858298719,-0.869573121,-0.837039926,-0.616131117,-0.66171969,-0.616131117,-0.66171969,-0.72524687,-0.719647028,-0.718168776,-0.784822866,-0.860446372,-0.874800166,-0.700885147,-0.671572147,-0.660989948,-0.656969045,-0.661844531,-0.605646725,-0.744662042,-0.748627002,-0.752302172,-0.734776737,-0.738434398,-0.782089515,-0.789780147,-0.81596213,-0.756286642,-0.804991832,-0.809421448,-0.756993641,-0.666962508,-0.712680991,-0.713167614,-0.729869399,-0.817128819,-0.802078223,-0.872772283,-0.886533212
17,WALKING_DOWNSTAIRS,0.273849441,-0.017517849,-0.108945436,-0.575384465,-0.531725561,-0.633174443,0.681018816,0.002084859,0.004579678,-0.969925765,-0.956590055,-0.946280153,0.081880267,0.008359931,0.003136402,-0.655962718,-0.641279471,-0.798055546,-0.013719992,-0.084127533,0.076160547,-0.739509361,-0.746029348,-0.697883519,-0.108510381,-0.038950352,-0.050513453,-0.770982322,-0.811674345,-0.792412597,-0.532690253,-0.60606914,-0.532690253,-0.60606914,-0.671076886,-0.668331557,-0.649912793,-0.730340425,-0.794708805,-0.810882494,-0.622462544,-0.569180425,-0.696059809,-0.559142965,-0.542590164,-0.629065518,-0.692948207,-0.669598735,-0.786440272,-0.649348719,-0.635163006,-0.808333054,-0.70670094,-0.756554218,-0.704461092,-0.751468354,-0.742303506,-0.72425985,-0.616776986,-0.661980076,-0.672302753,-0.666929055,-0.750925805,-0.765190625,-0.815081808,-0.820032371
17,WALKING_UPSTAIRS,0.276134936,-0.0178193,-0.112173902,-0.99504124,-0.979413536,-0.980976484,0.908399607,-0.19865987,-0.278195592,-0.993349446,-0.984760977,-0.981291681,0.075862697,0.010004081,-0.002364844,-0.994019934,-0.989158121,-0.992004427,-0.02575773,-0.066151284,0.087130975,-0.986979956,-0.985073171,-0.987937567,-0.100183297,-0.04176229,-0.05477969,-0.991854138,-0.993318104,-0.993400308,-0.985418968,-0.986826527,-0.985418968,-0.986826527,-0.993245806,-0.993375015,-0.983299608,-0.98165697,-0.994309821,-0.993276946,-0.994496323,-0.982367664,-0.986495766,-0.995250993,-0.978351559,-0.978759604,-0.994117062,-0.988821,-0.990597965,-0.994459398,-0.990414811,-0.991935782,-0.98599354,-0.987392253,-0.988668108,-0.987354722,-0.983809691,-0.988732923,-0.990007266,-0.986287911,-0.993005947,-0.992630932,-0.986607555,-0.981446073,-0.99327833,-0.993482857
18,LAYING,0.276324152,-0.017283155,-0.108112251,-0.694616885,-0.627117507,-0.70159604,0.716863248,-0.015781996,0.089990175,-0.980138676,-0.96954203,-0.959434178,0.077480922,0.012885045,0.000848545,-0.73464445,-0.732969175,-0.847257766,-0.03739938,-0.06782001,0.090840287,-0.804533729,-0.777361714,-0.745612483,-0.094402958,-0.044169187,-0.056848257,-0.842893478,-0.884050473,-0.838614663,-0.658370952,-0.68967189,-0.658370952,-0.68967189,-0.753904677,-0.745212813,-0.714735669,-0.775779059,-0.859899942,-0.888565337,-0.714227765,-0.663659667,-0.761229192,-0.687850549,-0.632838238,-0.694874091,-0.750020077,-0.744113445,-0.833032083,-0.742517894,-0.739197835,-0.860168955,-0.787757638,-0.81638588,-0.755926771,-0.812175241,-0.759665554,-0.766381665,-0.697732862,-0.733904051,-0.742323822,-0.750189976,-0.816286627,-0.789777675,-0.884663023,-0.902206781
19,WALKING_DOWNSTAIRS,0.269723487,-0.018203152,-0.11827718,-0.574658923,-0.507035085,-0.649184727,0.475323016,0.096405263,0.233011401,-0.958290448,-0.959253834,-0.941800285,0.077417115,0.011581242,-0.001861989,-0.571088266,-0.57131119,-0.705342976,-0.038572395,-0.06814206,0.088360959,-0.637789915,-0.643866301,-0.645682212,-0.089593943,-0.038320874,-0.056964944,-0.618836207,-0.725991381,-0.686684584,-0.531507362,-0.599552767,-0.531507362,-0.599552767,-0.576225247,-0.601918553,-0.548919668,-0.610093381,-0.683436542,-0.725598699,-0.587050355,-0.521888077,-0.647026298,-0.570897975,-0.530901585,-0.680291383,-0.593157169,-0.596694944,-0.680924493,-0.586910129,-0.572596723,-0.728521901,-0.553089576,-0.6413373,-0.602625308,-0.666071316,-0.650105402,-0.694729075,-0.556404445,-0.68986092,-0.576064648,-0.641089006,-0.636288,-0.662325968,-0.719519009,-0.754223739
20,LAYING,0.268425758,-0.017591299,-0.108029146,-0.604846695,-0.369336707,-0.634787347,0.628040637,-0.037305948,0.107230759,-0.958201863,-0.952506793,-0.940981538,0.079818125,0.002209287,-0.004506119,-0.627098831,-0.527174602,-0.747362573,-0.024248881,-0.078944842,0.085628063,-0.684586332,-0.573677383,-0.52727797,-0.094982179,-0.041435612,-0.054300128,-0.698354146,-0.684280686,-0.636715879,-0.517257429,-0.57232582,-0.517257429,-0.57232582,-0.619698757,-0.588644307,-0.516861236,-0.580023613,-0.684048497,-0.683503745,-0.612641114,-0.426398722,-0.665006946,-0.603148949,-0.381534029,-0.647515612,-0.652264227,-0.557791286,-0.732835649,-0.634710081,-0.52590761,-0.760509115,-0.626445371,-0.591039733,-0.518444509,-0.704481841,-0.567588606,-0.575002191,-0.560278889,-0.648306199,-0.584571447,-0.597351047,-0.606970915,-0.635816315,-0.692638076,-0.694680032
21,WALKING_DOWNSTAIRS,0.277466526,-0.017666458,-0.108778481,-0.672323867,-0.56558519,-0.669621813,0.645775958,-0.075096307,0.032185177,-0.965586634,-0.969330818,-0.953093993,0.082220787,0.003501076,-0.010659073,-0.699763344,-0.665159123,-0.781823901,-0.027634664,-0.078471974,0.086121267,-0.796172287,-0.765057761,-0.701642028,-0.100558318,-0.040823614,-0.053386105,-0.792483157,-0.815859336,-0.812017312,-0.62030926,-0.660196015,-0.62030926,-0.660196015,-0.703461276,-0.680069219,-0.693779225,-0.76130312,-0.807817403,-0.8240899,-0.693486097,-0.593778214,-0.707713799,-0.665349663,-0.578748587,-0.675588193,-0.716414131,-0.678615119,-0.767351987,-0.709800728,-0.674102361,-0.794922814,-0.752040829,-0.759325715,-0.70947142,-0.81102671,-0.771388319,-0.728319305,-0.65866472,-0.714345739,-0.679742585,-0.683725127,-0.77647306,-0.793158526,-0.826275026,-0.834949863
22,SITTING,0.242298449,-0.031656137,-0.105664297,0.076483247,0.219952845,-0.093518436,0.8701722,-0.350769157,-0.176535741,-0.939673767,-0.944104886,-0.92719241,0.105897184,0.0320775,-0.032698363,0.029601414,-0.027097657,-0.444640861,0.119614301,-0.172162155,-0.004647508,-0.377598602,-0.451114613,-0.133059911,-0.119050871,-0.059375607,-0.074342265,-0.388955638,-0.665547724,-0.482172029,0.194598717,-0.126888897,0.194598717,-0.126888897,-0.066207229,-0.036353266,-0.137333613,-0.223751817,-0.543885972,-0.644416389,-0.041458946,0.123105777,-0.198565774,0.118339545,0.190673822,-0.109291371,0.007744663,-0.042898966,-0.38815349,-0.04165934,-0.080115431,-0.50047613,-0.237124032,-0.483080168,-0.158548505,-0.42315391,-0.437456513,-0.205526547,-0.029583273,-0.323464307,0.003827107,-0.097779999,-0.35444974,-0.272385365,-0.642050515,-0.673087576
22,WALKING_DOWNSTAIRS,0.277156731,-0.01573628,-0.10889156,-0.591898039,-0.543513202,-0.696409302,0.590202951,0.059637422,0.266233413,-0.95989,-0.958295671,-0.939955774,0.077131643,0.014019636,-0.005354713,-0.630182599,-0.599714914,-0.783706594,-0.017396451,-0.089286135,0.087560189,-0.719340786,-0.808549367,-0.692821756,-0.108536984,-0.036922801,-0.057027766,-0.732439672,-0.874226384,-0.761410623,-0.555508409,-0.630466994,-0.555508409,-0.630466994,-0.649767623,-0.630546676,-0.674479871,-0.709682202,-0.81313448,-0.839890422,-0.635653249,-0.554621368,-0.723282881,-0.576586116,-0.567546209,-0.7064433,-0.649283146,-0.613419188,-0.76556824,-0.643720768,-0.612907133,-0.80083827,-0.66918748,-0.814085467,-0.679035334,-0.736449903,-0.807400496,-0.726376318,-0.614415097,-0.6996805,-0.628800132,-0.636187051,-0.755664344,-0.731033945,-0.84403514,-0.847554449
